SKU,Handle,Option1 Name,Option1 Value,WS,RRP
EMSLW,kartech-engine-mount-slide-thick-washer-20-0-x-10-5-x-4mm-thick-1,Title,Default Title,2,3
EMSLTF,kartech-engine-mount-slide-top-part-flat-aluminium-1,Title,Default Title,87,125
EXMW,kartech-exhaust-muffler-tie-wire-clamp-cabcf-1,Title,Default Title,8,11
EXS15,kartech-exhaust-spring-1,Type,Kartech Exhaust Spring 15mm,2,3
T53,kartech-exhaust-spring-puller-tool,Title,Default Title,10,14
EXS65S,kartech-exhaust-spring-swivel-end-1,Type,Kartech Exhaust Spring With Swivel Ends 65mm Suit KA,4,5
EXB06E,kartech-exhaust-support-clamp-bottom-alloy-1,Title,Default Title,6,9
EXB06D,kartech-exhaust-support-clamp-top-alloy-1,Title,Default Title,8,11
EXB1B,kartech-exhaust-support-cradle-bare-yamaha-type-1,Title,Default Title,14,21
EXBR,kartech-exhaust-support-cradle-rubber-bush-1,Title,Default Title,3,5
KBES,kartech-exhaust-support-spigot-x5-x3-also-requires-kes6-or-kes6c-1,Title,Default Title,38,58
KFT31,kartech-floor-tray-rubber-grommet-1,Title,Default Title,2,3
FB5,kartech-fuel-jug,Title,Default Title,29,37
FT9K06,kartech-fuel-tank-cap-6-9-ltr-kartech-1,Title,Default Title,8,11
FTFPC,kartech-fuel-tank-cap-fuel-outlet-1,Title,Default Title,7,10
FT9K05O,kartech-fuel-tank-cap-o-ring-32-x-4-mm-1,Title,Default Title,2,3
FTCB,kartech-fuel-tank-clamp-bolt-holder-no-bolt-included-1,Title,Default Title,6,9
FTC,kartech-fuel-tank-clamp-for-kg-type-tank-1,Title,Default Title,9,13
FTCS,kartech-fuel-tank-clamp-spacer-to-suit-ftc-on-ft6b2c-1,Title,Default Title,2,4
FTF,kartech-fuel-tank-fitting-alloy-inc-nut-2-fibre-washers-1,Title,Default Title,6,9
FTFO,kartech-fuel-tank-fitting-o-ring-type-inc-locknutwasher-1,Title,Default Title,8,11
FTFOR,kartech-fuel-tank-o-ring-for-tank-fitting-1,Title,Default Title,2,3
FTFPO,kartech-fuel-tank-outlet-cap-oring-nitrile-1,Title,Default Title,3,5
FTFP,kartech-fuel-tank-outlet-fitting-plastic-1,Title,Default Title,6,9
HRS6,kartech-heel-rest-mrc-jnr-1-only-requires-2-per-kart-1,Title,Default Title,8,11
